                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.63134,                 1.1794,                0.45462,                0.92081,                0.74676,                0.72563,                0.74073,                0.54418,                0.76526,                0.73499,                0.75265,                0.49046,                0.82609,                 1.5896,                0.71494,                 1.0524,             0.00078531,             0.00078531,             0.00078531
                     93,                0.64607,                 1.1766,                 0.4561,                0.91973,                0.75341,                0.72203,                0.74112,                0.54225,                0.77096,                 0.7397,                0.74963,                0.47415,                0.81218,                 1.5396,                0.67855,                 1.0554,             0.00077823,             0.00077823,             0.00077823
                     94,                 0.6407,                 1.1683,                0.44527,                0.91508,                0.72551,                0.75023,                0.73402,                0.53785,                0.74307,                0.76009,                0.75234,                0.48537,                0.83437,                 1.5548,                0.66701,                 1.0668,             0.00077116,             0.00077116,             0.00077116
                     95,                0.64133,                 1.1849,                 0.4525,                0.91986,                0.74249,                0.71297,                0.72377,                0.53189,                0.76785,                0.73831,                0.74141,                0.46823,                0.82627,                 1.5777,                0.68634,                 1.0646,             0.00076409,             0.00076409,             0.00076409
                     96,                0.63506,                 1.1393,                0.44039,                0.91707,                 0.7327,                0.76981,                0.74676,                 0.5457,                0.74567,                0.78065,                0.75258,                0.48137,                 0.8354,                 1.5294,                0.66844,                 1.0535,             0.00075701,             0.00075701,             0.00075701
                     97,                0.64485,                 1.1825,                0.45148,                0.91625,                0.77241,                 0.6893,                0.71849,                0.53046,                0.78212,                0.69825,                0.72679,                0.47315,                0.85335,                 1.5533,                0.70372,                 1.0872,             0.00074994,             0.00074994,             0.00074994
                     98,                0.64675,                 1.1969,                0.45895,                0.92006,                0.74664,                0.75278,                0.75327,                0.55196,                0.76639,                0.74665,                0.75838,                0.48441,                0.83195,                 1.5271,                0.68458,                 1.0608,             0.00074287,             0.00074287,             0.00074287
                     99,                0.62566,                 1.1384,                0.44098,                0.91151,                0.74838,                0.72005,                0.74098,                0.54233,                0.75376,                0.72305,                0.74905,                0.48985,                0.81891,                 1.5699,                0.69397,                 1.0591,             0.00073579,             0.00073579,             0.00073579
                    100,                 0.6389,                 1.1605,                0.44634,                 0.9267,                0.75531,                0.74128,                0.73435,                0.53926,                0.75525,                0.73744,                0.73265,                0.46281,                0.81975,                  1.599,                0.68818,                 1.0588,             0.00072872,             0.00072872,             0.00072872
                    101,                0.63535,                 1.1474,                0.44292,                0.91489,                0.76127,                 0.6906,                0.72761,                 0.5418,                0.76994,                0.69874,                0.73308,                0.48314,                0.83078,                 1.5698,                0.71029,                 1.0909,             0.00072164,             0.00072164,             0.00072164
                    102,                0.62866,                 1.1507,                0.43783,                0.91434,                0.74114,                0.73096,                0.74593,                0.55533,                 0.7676,                0.72555,                0.74772,                0.48607,                0.83524,                 1.5613,                 0.6758,                 1.0929,             0.00071457,             0.00071457,             0.00071457
