                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,               0.030371,               0.027778,                0.07505,              0.0026712,                0.75194,                0.71309,                0.73596,                0.47885,                0.80344,                0.69123,                0.73722,                0.45776,               0.030152,               0.033533,                0.06435,              0.0038802,              0.0083665,              0.0083665,              0.0083665
                     35,               0.029528,               0.028578,               0.076536,              0.0027246,                0.75673,                0.69415,                0.70229,                0.45315,                 0.7623,                0.69893,                 0.7108,                 0.4309,               0.032418,               0.032967,               0.065176,               0.004269,               0.008317,               0.008317,               0.008317
                     36,               0.029811,               0.028134,               0.075036,              0.0025244,                0.77469,                0.71561,                0.73379,                0.44934,                0.78857,                0.71217,                0.73924,                 0.4463,                0.03224,               0.032352,               0.066163,              0.0038446,              0.0082675,              0.0082675,              0.0082675
                     37,               0.029728,               0.028201,               0.074086,              0.0024167,                0.73197,                0.72628,                0.71657,                0.44518,                0.75509,                0.70622,                0.73688,                0.45082,               0.031652,               0.033645,               0.066931,              0.0040287,               0.008218,               0.008218,               0.008218
                     38,                0.02968,               0.028181,               0.072189,               0.002584,                0.72535,                0.68838,                0.72558,                0.45271,                0.76279,                0.70783,                0.74011,                  0.441,               0.032306,               0.034636,               0.066441,              0.0041387,              0.0081685,              0.0081685,              0.0081685
                     39,               0.030238,                0.02773,               0.075124,               0.002556,                0.76104,                0.72417,                0.74605,                  0.504,                0.76502,                0.71509,                0.74318,                0.44822,               0.030188,                0.03311,                0.06483,              0.0037379,               0.008119,               0.008119,               0.008119
                     40,                0.02954,               0.027508,               0.073509,              0.0023304,                 0.7501,                0.72484,                0.72827,                0.49549,                0.75753,                0.72875,                0.73388,                0.45482,               0.030003,                0.03199,               0.064237,              0.0036878,              0.0080695,              0.0080695,              0.0080695
                     41,               0.028375,               0.027708,               0.074643,              0.0022341,                0.72464,                0.71406,                0.70511,                0.47156,                0.77041,                0.68786,                0.72448,                 0.4306,               0.029381,               0.032833,               0.063748,              0.0041212,                0.00802,                0.00802,                0.00802
                     42,               0.028754,               0.027144,               0.072832,               0.002429,                0.76926,                0.68067,                0.71651,                0.46909,                0.75847,                0.67114,                0.71383,                0.42202,               0.031176,               0.033593,               0.066081,              0.0046654,              0.0079705,              0.0079705,              0.0079705
                     43,               0.029215,               0.028035,               0.073217,              0.0024671,                0.77111,                0.69702,                0.73133,                0.49138,                0.77007,                0.68386,                0.72241,                0.44196,                0.02996,               0.032114,                0.06465,              0.0038798,               0.007921,               0.007921,               0.007921
                     44,               0.028419,               0.027307,               0.070896,               0.002298,                0.74739,                0.74064,                0.76244,                0.51327,                0.75169,                0.73572,                0.76059,                0.46933,               0.029911,               0.034166,                 0.0664,               0.004031,              0.0078715,              0.0078715,              0.0078715
                     45,               0.028423,                0.02708,               0.071022,              0.0020889,                0.74702,                0.72875,                0.73596,                0.48655,                0.74163,                0.72299,                 0.7351,                 0.4444,                0.03046,                0.03346,               0.066821,              0.0043424,               0.007822,               0.007822,               0.007822
                     46,               0.026329,               0.027984,               0.071842,              0.0021281,                0.78981,                 0.6898,                0.73735,                0.48879,                0.79445,                0.69247,                0.74058,                 0.4566,                0.03104,                 0.0337,               0.068305,              0.0040029,              0.0077725,              0.0077725,              0.0077725
                     47,               0.027941,               0.027909,               0.071796,              0.0019721,                0.71623,                0.76559,                0.73883,                0.49762,                 0.7315,                0.76156,                0.75215,                0.46817,               0.029972,               0.033384,               0.066795,              0.0033973,               0.007723,               0.007723,               0.007723
                     48,               0.028217,               0.027223,               0.070639,              0.0021835,                 0.7586,                0.72818,                0.71262,                 0.4758,                0.76723,                0.74179,                0.73245,                0.45546,               0.029823,                0.03271,               0.067031,              0.0039813,              0.0076735,              0.0076735,              0.0076735
