                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,               0.030545,               0.027341,               0.072604,              0.0026141,                0.74024,                 0.7217,                0.73726,                0.49013,                0.76494,                0.71884,                0.74782,                0.46029,               0.029291,               0.033322,               0.063694,              0.0037606,              0.0083665,              0.0083665,              0.0083665
                     35,               0.029674,               0.027686,               0.072908,              0.0026501,                0.76318,                0.72113,                0.73374,                0.48819,                0.80497,                0.70572,                0.73428,                0.46243,               0.031332,                0.03354,               0.064827,              0.0039517,               0.008317,               0.008317,               0.008317
                     36,               0.030132,               0.027646,               0.072139,              0.0025074,                0.73985,                0.73443,                0.72245,                0.46676,                0.78782,                0.72225,                0.73711,                0.45865,               0.032225,               0.033424,               0.066365,              0.0046086,              0.0082675,              0.0082675,              0.0082675
                     37,               0.029272,               0.027367,               0.071175,              0.0024025,                0.79229,                0.66578,                0.73414,                0.48401,                0.78365,                0.70974,                0.75254,                0.45726,               0.030272,               0.033343,               0.065557,              0.0045112,               0.008218,               0.008218,               0.008218
                     38,               0.029005,               0.027183,               0.069609,              0.0024096,                0.72367,                 0.7359,                0.73027,                0.50024,                0.74551,                0.76998,                0.75085,                 0.4682,               0.029485,               0.034218,               0.064524,              0.0041723,              0.0081685,              0.0081685,              0.0081685
                     39,               0.028472,               0.026794,               0.072052,              0.0024227,                 0.7694,                0.71009,                0.73532,                0.49485,                0.76077,                0.73892,                0.74866,                0.45412,               0.032067,               0.033414,               0.066697,              0.0046554,               0.008119,               0.008119,               0.008119
                     40,               0.027933,               0.026743,               0.069939,              0.0022217,                0.75311,                0.73641,                 0.7214,                0.49002,                0.75768,                0.74145,                0.73023,                0.44978,               0.030225,               0.032389,               0.066866,              0.0038833,              0.0080695,              0.0080695,              0.0080695
                     41,               0.028115,               0.026818,               0.071545,              0.0022019,                0.71959,                0.76474,                0.74393,                0.50419,                0.79421,                0.70655,                0.75082,                0.45898,               0.029219,               0.033011,               0.064567,              0.0041092,                0.00802,                0.00802,                0.00802
                     42,               0.027228,                 0.0264,               0.070171,              0.0023294,                0.71378,                 0.7237,                0.73331,                 0.5033,                0.76035,                0.71447,                0.74798,                0.45794,               0.029901,               0.033758,               0.065833,              0.0046022,              0.0079705,              0.0079705,              0.0079705
                     43,               0.027955,               0.027049,               0.070205,              0.0023756,                0.75277,                0.68027,                0.71031,                0.48376,                0.77018,                0.68907,                0.72459,                0.43824,               0.030635,               0.032854,               0.064576,              0.0042448,               0.007921,               0.007921,               0.007921
