                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     55,               0.024797,               0.024931,               0.063629,              0.0018445,                0.68286,                0.78542,                0.72441,                 0.5047,                0.78568,                0.69882,                0.72787,                0.46227,                0.02815,               0.032518,               0.064112,              0.0034533,               0.007327,               0.007327,               0.007327
                     56,                0.02439,               0.024882,               0.064911,              0.0016962,                0.78584,                0.71041,                0.74081,                0.51174,                0.79082,                0.71496,                0.74037,                0.47424,               0.028005,               0.032648,               0.064679,              0.0035479,              0.0072775,              0.0072775,              0.0072775
                     57,               0.024716,               0.025223,               0.065242,              0.0017143,                0.77612,                0.68605,                0.72941,                0.50633,                0.78398,                0.68208,                0.73399,                0.47336,               0.027961,               0.032557,               0.065577,              0.0036666,               0.007228,               0.007228,               0.007228
                     58,               0.025229,               0.024901,               0.064999,              0.0017525,                0.71186,                0.70552,                0.68644,                 0.4851,                0.71134,                0.69635,                0.68343,                0.43778,               0.027994,               0.032336,               0.065599,              0.0041649,              0.0071785,              0.0071785,              0.0071785
                     59,               0.024445,               0.024955,               0.063471,              0.0017855,                0.73132,                0.73204,                0.71788,                0.50099,                0.74465,                0.74594,                0.73765,                0.46326,               0.029562,               0.033044,               0.065392,              0.0035477,               0.007129,               0.007129,               0.007129
                     60,               0.024365,               0.024689,               0.062336,              0.0016452,                0.76809,                0.67822,                0.70271,                0.49787,                0.80034,                0.67373,                  0.716,                0.45558,               0.027913,                0.03282,                0.06699,              0.0035523,              0.0070795,              0.0070795,              0.0070795
                     61,               0.023239,                0.02462,               0.063412,              0.0014847,                0.71078,                0.73682,                0.72794,                0.52503,                0.79109,                0.68025,                0.73983,                0.46113,                0.02668,               0.032401,               0.063656,              0.0038185,                0.00703,                0.00703,                0.00703
                     62,               0.023483,               0.024649,               0.063057,              0.0014709,                0.74414,                0.71438,                0.73745,                0.52439,                0.80888,                0.67643,                0.72431,                0.46318,               0.028647,               0.032962,               0.064903,              0.0036678,              0.0069805,              0.0069805,              0.0069805
                     63,               0.024204,               0.024327,               0.062249,              0.0016337,                0.74508,                0.73325,                0.73101,                0.51119,                0.74737,                0.71836,                0.71801,                0.45245,               0.028305,               0.033129,               0.067751,              0.0041148,               0.006931,               0.006931,               0.006931
                     64,               0.024112,               0.024651,               0.063098,              0.0014633,                0.77183,                 0.6804,                0.72419,                0.50314,                0.78702,                0.69496,                0.73359,                0.45045,               0.030416,               0.033637,               0.070345,              0.0040661,              0.0068815,              0.0068815,              0.0068815
