                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.79094,                    1.4,                0.63792,                 0.9791,                0.79937,                0.71287,                0.73278,                0.50875,                0.79389,                0.71113,                0.73326,                 0.4532,                0.85896,                 1.5971,                 0.7661,                 1.0236,              0.0012026,              0.0012026,              0.0012026
                     34,                0.79898,                 1.3937,                0.64029,                0.97586,                0.73002,                0.66477,                0.71553,                 0.5207,                0.73416,                0.66896,                0.71858,                0.45149,                  0.845,                 1.5603,                0.79937,                 1.0212,              0.0011956,              0.0011956,              0.0011956
                     35,                0.78187,                 1.3717,                0.60798,                0.96587,                0.75997,                0.67469,                0.71202,                0.50996,                0.76651,                0.67917,                0.71835,                0.45021,                0.85274,                 1.5401,                0.77785,                 1.0362,              0.0011885,              0.0011885,              0.0011885
                     36,                0.77336,                 1.3571,                0.61215,                0.95785,                0.76194,                 0.7183,                0.73877,                0.54207,                0.77493,                0.73069,                0.75021,                 0.4731,                0.83505,                 1.6002,                0.78868,                 1.0189,              0.0011814,              0.0011814,              0.0011814
                     37,                0.76296,                 1.3374,                0.59122,                0.95902,                0.73473,                0.70516,                0.73664,                0.53704,                 0.7892,                0.70166,                0.75661,                0.47373,                0.83642,                 1.5765,                0.75191,                 1.0279,              0.0011744,              0.0011744,              0.0011744
                     38,                 0.7672,                 1.3394,                0.61295,                0.95604,                0.70731,                0.71865,                0.73941,                0.52905,                0.72392,                0.72358,                0.75195,                 0.4726,                 0.8481,                 1.5629,                0.76618,                 1.0296,              0.0011673,              0.0011673,              0.0011673
                     39,                0.76787,                  1.369,                0.61461,                0.96547,                0.73132,                0.71346,                0.72652,                0.52864,                0.73771,                0.71913,                0.73457,                0.46531,                0.82955,                 1.5347,                0.75376,                 1.0218,              0.0011602,              0.0011602,              0.0011602
                     40,                0.75477,                 1.3226,                0.60389,                0.95674,                 0.7179,                0.65006,                0.70488,                0.51936,                0.73196,                0.66719,                0.72138,                0.45254,                0.81738,                 1.5776,                0.73531,                0.99645,              0.0011531,              0.0011531,              0.0011531
                     41,                0.77372,                   1.37,                   0.61,                0.96193,                0.69855,                0.72707,                0.72023,                0.53139,                0.71625,                0.73893,                0.72941,                0.46565,                  0.826,                 1.5395,                0.77686,                 1.0105,              0.0011461,              0.0011461,              0.0011461
                     42,                0.77062,                 1.3431,                0.59771,                0.96204,                0.71607,                0.72369,                0.72961,                0.54366,                 0.7228,                0.71672,                0.73647,                0.46829,                0.81197,                  1.563,                0.75088,                 1.0008,               0.001139,               0.001139,               0.001139
                     43,                0.75268,                 1.3504,                0.58102,                0.95333,                0.68805,                0.72803,                0.71696,                0.52447,                0.76428,                0.68701,                0.72635,                0.46368,                0.84094,                 1.5495,                0.76931,                 1.0333,              0.0011319,              0.0011319,              0.0011319
                     44,                0.77604,                 1.3422,                0.58806,                0.96036,                0.74421,                0.73752,                0.72878,                0.53742,                0.74785,                0.75774,                0.74529,                0.47265,                0.84281,                 1.5452,                0.80457,                 1.0359,              0.0011248,              0.0011248,              0.0011248
                     45,                0.75969,                 1.3562,                0.58184,                  0.962,                0.75039,                0.72427,                0.74023,                0.54885,                0.75721,                0.73377,                0.75226,                0.48797,                0.84013,                 1.5033,                0.76348,                 1.0271,              0.0011178,              0.0011178,              0.0011178
                     46,                0.75693,                 1.3153,                0.58311,                0.95112,                0.71676,                0.68912,                  0.729,                0.54081,                 0.7268,                0.69516,                0.73005,                0.47316,                0.83146,                 1.5345,                0.72724,                 1.0364,              0.0011107,              0.0011107,              0.0011107
                     47,                0.74242,                 1.3189,                0.57798,                 0.9477,                0.73004,                0.70552,                0.71202,                0.51341,                0.73487,                   0.71,                0.71998,                0.45827,                0.84344,                 1.5228,                0.74741,                 1.0355,              0.0011036,              0.0011036,              0.0011036
                     48,                0.74176,                 1.3224,                0.57862,                0.95747,                0.71209,                0.75076,                0.72501,                0.51709,                0.72211,                0.75971,                0.73937,                0.46545,                0.85985,                 1.5752,                0.75214,                 1.0715,              0.0010965,              0.0010965,              0.0010965
                     49,                 0.7497,                 1.3156,                0.57766,                0.95597,                 0.7194,                0.70662,                0.73455,                0.52157,                0.72895,                0.71508,                 0.7386,                0.46204,                0.83151,                 1.5257,                0.73959,                 1.0127,              0.0010895,              0.0010895,              0.0010895
                     50,                0.74051,                 1.3058,                0.55843,                0.94523,                0.71896,                0.72662,                0.70718,                0.51021,                0.72653,                0.74005,                0.72067,                0.45938,                0.83873,                 1.5874,                0.75828,                 1.0361,              0.0010824,              0.0010824,              0.0010824
                     51,                0.73817,                 1.3386,                0.55799,                0.94581,                0.69966,                0.76987,                0.74493,                0.55166,                0.70764,                0.77184,                0.74816,                 0.4819,                0.82457,                 1.5553,                0.72707,                 1.0058,              0.0010753,              0.0010753,              0.0010753
                     52,                0.73704,                 1.3155,                0.57487,                0.94702,                0.73938,                0.76736,                0.72982,                0.53522,                0.74503,                0.77236,                0.74183,                0.46638,                0.82667,                 1.5109,                0.72819,                 1.0132,              0.0010682,              0.0010682,              0.0010682
                     53,                0.72483,                 1.3104,                0.55995,                0.94436,                 0.7637,                0.70276,                0.72839,                0.52308,                0.80222,                0.70187,                 0.7464,                0.46504,                0.83156,                 1.5169,                0.74071,                 1.0182,              0.0010612,              0.0010612,              0.0010612
                     54,                0.73352,                 1.2865,                0.55263,                 0.9459,                0.73097,                0.75092,                0.74192,                0.53827,                0.73261,                0.75189,                0.75052,                0.48037,                0.81863,                 1.5017,                 0.7387,                 1.0142,              0.0010541,              0.0010541,              0.0010541
                     55,                0.72218,                 1.2876,                0.55178,                0.94521,                0.74158,                0.73563,                0.73594,                0.53935,                0.77196,                0.70914,                0.74125,                0.46852,                0.82682,                 1.5454,                0.71295,                 1.0098,               0.001047,               0.001047,               0.001047
                     56,                0.71871,                 1.2819,                0.54934,                0.93813,                0.75889,                0.70576,                0.71165,                0.51992,                0.76493,                0.70966,                0.72518,                0.45084,                0.83364,                 1.5283,                0.72645,                 1.0171,                0.00104,                0.00104,                0.00104
                     57,                0.73422,                 1.3027,                0.56511,                0.94508,                0.73682,                0.76339,                  0.743,                0.54115,                0.74116,                0.76692,                0.75005,                0.47482,                0.84392,                 1.5132,                0.74655,                 1.0362,              0.0010329,              0.0010329,              0.0010329
                     58,                 0.7217,                 1.2922,                0.54638,                 0.9429,                0.69758,                0.75245,                0.74611,                0.55089,                0.70813,                 0.7609,                0.75386,                0.47745,                0.82932,                 1.5346,                0.74639,                 1.0375,              0.0010258,              0.0010258,              0.0010258
                     59,                0.73102,                 1.2906,                0.55721,                0.94796,                0.73919,                0.70711,                0.72966,                0.53614,                0.79781,                0.68503,                0.73733,                0.45909,                0.87583,                 1.5136,                0.69607,                 1.0733,              0.0010187,              0.0010187,              0.0010187
                     60,                0.73076,                 1.2867,                0.54731,                0.94132,                0.74521,                0.69006,                0.73737,                0.53985,                 0.7543,                0.69857,                0.74658,                0.49052,                0.86121,                 1.5138,                0.74797,                 1.0597,              0.0010117,              0.0010117,              0.0010117
                     61,                0.71709,                 1.2631,                0.54349,                0.93297,                0.75779,                0.71102,                0.72452,                0.53134,                0.77192,                0.72034,                0.73755,                0.46281,                0.85327,                  1.536,                0.73156,                 1.0628,              0.0010046,              0.0010046,              0.0010046
                     62,                0.70921,                 1.2895,                0.52593,                0.93581,                0.71911,                0.77058,                0.75615,                0.54508,                0.72762,                0.77716,                0.76819,                 0.4869,                0.86131,                 1.6148,                0.70709,                 1.0645,             0.00099751,             0.00099751,             0.00099751
                     63,                0.70712,                  1.244,                0.53524,                0.93691,                0.75835,                0.75978,                0.75169,                0.54604,                0.76943,                0.77005,                0.76288,                0.48259,                0.85592,                 1.5488,                0.70638,                 1.0563,             0.00099044,             0.00099044,             0.00099044
                     64,                0.71791,                 1.2732,                0.52854,                0.93464,                0.78148,                0.69889,                0.74092,                0.55029,                0.79321,                 0.7118,                 0.7538,                0.48676,                0.83065,                 1.5264,                0.72294,                 1.0359,             0.00098337,             0.00098337,             0.00098337
                     65,                 0.7107,                 1.2625,                0.53313,                  0.931,                0.75043,                0.71989,                0.74199,                0.54323,                0.77298,                 0.7115,                 0.7391,                 0.4721,                0.84704,                  1.546,                0.72654,                 1.0475,             0.00097629,             0.00097629,             0.00097629
                     66,                0.69914,                 1.2447,                0.52374,                0.93264,                0.77511,                0.71722,                0.73274,                0.53638,                0.78494,                0.72544,                0.74494,                0.47122,                0.81922,                  1.519,                0.73789,                 1.0206,             0.00096922,             0.00096922,             0.00096922
                     67,                0.70851,                 1.2838,                0.52632,                0.94381,                0.71469,                0.76173,                0.73487,                0.53588,                0.72062,                0.76747,                0.73772,                0.46847,                 0.8352,                 1.5268,                0.74772,                 1.0296,             0.00096215,             0.00096215,             0.00096215
