                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1381,                 2.1545,                0.91185,                 1.2098,                0.73604,                0.57914,                0.57333,                0.40035,                0.74341,                0.58518,                0.59176,                 0.3463,                0.89672,                 1.6981,                 0.9453,                 1.0948,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.0646,                 2.1196,                0.92485,                 1.1847,                0.65345,                0.61432,                0.59676,                0.40853,                0.66523,                  0.625,                0.61533,                0.35652,                0.92743,                 1.7103,                0.95542,                 1.1321,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.0993,                 2.1804,                 0.9211,                 1.1931,                0.69943,                0.54227,                0.56613,                0.38675,                 0.7028,                0.54671,                0.57381,                0.31998,                0.96057,                 1.7272,                0.97287,                 1.1522,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.0905,                 2.1252,                0.90019,                 1.1942,                 0.6454,                0.55993,                0.59552,                0.42878,                0.65197,                0.55619,                0.60897,                0.37423,                0.90866,                 1.6878,                0.95256,                 1.1201,             0.00098337,             0.00098337,             0.00098337
                     66,                  1.085,                 2.1322,                0.88119,                 1.1781,                0.62256,                0.52691,                0.56628,                 0.4137,                0.62816,                0.53332,                0.57528,                0.35381,                0.92882,                 1.6888,                0.97231,                 1.1453,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.0854,                 2.1295,                0.88869,                 1.2051,                0.53671,                0.62471,                0.57566,                0.44924,                0.54114,                0.62932,                0.59001,                0.38421,                0.89144,                 1.7352,                0.94563,                 1.1187,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.0533,                 2.0875,                0.88359,                 1.1677,                0.58384,                 0.4933,                0.49234,                0.36859,                0.56834,                0.49864,                0.51239,                0.31113,                0.92988,                 1.8519,                 1.0514,                 1.1291,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.0105,                 2.0528,                0.84615,                 1.1741,                0.55842,                0.58533,                0.57858,                0.40441,                0.58722,                0.60475,                  0.607,                0.35536,                0.86915,                 1.6589,                0.88808,                 1.1043,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.0898,                 2.1366,                0.89454,                 1.2267,                0.59656,                0.53822,                0.57242,                 0.4004,                0.67769,                0.51172,                0.59098,                0.35498,                 0.9193,                 1.7271,                0.94723,                 1.1352,               0.000948,               0.000948,               0.000948
                     71,                 1.0672,                 2.0623,                0.90047,                 1.1721,                0.58659,                0.62053,                 0.6022,                0.42999,                0.61292,                0.65725,                0.62656,                0.37735,                0.90516,                 1.6784,                0.92944,                 1.1207,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.0566,                 2.0933,                0.88436,                 1.1653,                 0.6643,                0.58172,                0.64006,                0.44857,                0.67273,                0.58852,                0.66796,                0.40113,                0.89179,                 1.6905,                0.91074,                 1.1301,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.0459,                 2.0793,                0.87311,                 1.1695,                0.50466,                0.63184,                0.63193,                0.44112,                0.49248,                 0.6825,                0.65231,                 0.3817,                0.91107,                 1.6772,                0.91146,                 1.1245,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.0171,                 2.0371,                0.82775,                   1.14,                0.63249,                0.59239,                0.62668,                0.45649,                 0.6328,                0.63549,                0.65087,                0.39412,                0.90199,                 1.6626,                0.92321,                 1.1298,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.0437,                 2.0626,                0.84989,                 1.1572,                0.76483,                0.61428,                0.67267,                0.48958,                0.77969,                0.61504,                0.69592,                0.42569,                0.90246,                 1.9095,                0.90067,                 1.1406,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.0503,                 2.1104,                0.86059,                 1.1808,                0.60922,                0.60758,                0.64517,                0.46047,                0.62203,                0.59725,                0.66725,                0.39799,                0.93246,                 1.6325,                0.87492,                 1.1487,             0.00090556,             0.00090556,             0.00090556
